Original File Names
From Zapsplat

Change_To 	 						From_Original_Names

UI_Transition1 		  				audio_mangler_science_fiction_computer_48_345
UI_Transition2  	 				audio_mangler_science_fiction_computer_52_349
Shoot_Laser1 						johnj_wafare_gun_pistol_silenced_walther_pp7
Other_Use_Energy_Capsule  			lesser_vibes_Interface_Beeps_Glitch_Hi_Tech_Glass_03_054
Collect_Coin1 	 					foley_money_coin_drop_coins
Shoot_Missile1  					comedy_missle_launch
UI_Click1 	 						kedr_sfx_ui_computer_complex_confirm_3
Other_Rotor_Lossing_Rotation  		kedr_sfx_ui_computer_complex_lowend_11
UI_Click2							lesser_vibes_Interface_Beep_Bright_Pleasant_Single_01_050
UI_Click3							lesser_vibes_Interface_Beeps_Glitch_Hi_Tech_Glass_01_053
Shoot_Laser2						pm_sfg_vol2_weapon_8_3_gun_gunshot_futuristic_367
Bomb_Drop1							sound_design_descend_fall_through_space
Shoot1 								zapsplat_cartoon_ricochet_fast_pass_mouth_002
Explode_Big1						zapsplat_explosion_big_heavy_dynomite_001_62660
Explode1 							explosion_medium
Explode2 							explosion_small 
Explode_SciFi1						zapsplat_explosion_large_distant_heavy_001_62161
Explode_SciFi2 						zapsplat_explosion_large_distant_heavy_002_62162
Collect_Coin2 						zapsplat_foley_money_coins_handful_handling_movement_single_hand_001_43249
Collect_Coin3						zapsplat_foley_money_coins_handful_handling_movement_single_hand_003_43251
Hit_Metal1 							zapsplat_impact_metal_tray_tin_hit_blunt_med_pitched_resonate_ring_001_43388
Hit_Metal2 							zapsplat_impact_metal_tray_tin_hit_blunt_med_pitched_resonate_ring_002_43389
Hit_Metal3 							zapsplat_impact_metal_tray_tin_hit_blunt_med_pitched_resonate_ring_003_43390
Hit_Metal4 							zapsplat_impact_metal_tray_tin_hit_blunt_med_pitched_resonate_ring_004_43391
Recieve_Coins1 						zapsplat_multimedia_game_sound_coins_money_collect_bank_001_67717
Collect_Coin4						zapsplat_multimedia_game_sound_coins_money_collect_bank_005_67721
Other_Mission_Start1 				zapsplat_multimedia_game_tone_bright_sparkle_award_star_001_43980
Alert_Warning1 						zapsplat_science_fiction_alarm_big_warning_meltdown_wailing_deep_tone_fast_40027
Alert_Warning2 						zapsplat_science_fiction_computer_error_beep_tone_001_65051
Explode3 							zapsplat_science_fiction_explosion_005_63105
Missile_Shoot2 						zapsplat_science_fiction_explosion_whisling_debris_66998
Shoot2 								zapsplat_science_fiction_gun_single_shot_001_62527
Shoot3 								zapsplat_science_fiction_gun_single_shot_002_62528
Shoot_Laser3 						zapsplat_science_fiction_weapon_gun_blast_shoot_fire_single_shoot_001_62535
Shoot_Laser4 						zapsplat_science_fiction_weapon_gun_blast_shoot_fire_single_shoot_005_62539
Explode4 							zapsplat_sound_design_whoosh_very_fast_short_into_an_explosion_001_62639
Shoot_Missile4 						zapsplat_warfare_missile_small_launch_designed_001_62887
Shoot_Missile5 						zapsplat_warfare_missile_small_launch_designed_002_62888
Shoot_Missile6 						zapsplat_warfare_missile_small_launch_designed_003_62889
Shoot_Missile7						zapsplat_warfare_missile_small_launch_designed_004_62890
Shoot_Missile8 						zapsplat_warfare_missile_small_launch_designed_005_62891
Armory1								johnj_warfare_shotgun_reload_slight_distance-from_mic_room_reverb
Armory2								weapon_gun_mossberg_N_11
